iter	Passed	Remaining
832	2013	403
833	2015	401
834	2017	398
835	2022	396
836	2024	394
837	2026	391
838	2028	389
839	2032	387
840	2034	384
841	2037	382
842	2039	379
843	2041	377
844	2044	374
845	2046	372
846	2048	370
847	2050	367
848	2053	365
849	2056	362
850	2059	360
851	2061	358
852	2064	355
853	2066	353
854	2069	351
855	2072	348
856	2075	346
857	2077	343
858	2079	341
859	2081	338
860	2083	336
861	2085	333
862	2087	331
863	2090	328
864	2092	326
865	2094	324
866	2096	321
867	2098	319
868	2102	316
869	2104	314
870	2106	312
871	2108	309
872	2111	307
873	2113	304
874	2115	302
875	2118	299
876	2120	297
877	2122	294
878	2124	292
879	2126	290
880	2129	287
881	2131	285
882	2133	282
883	2135	280
884	2138	277
885	2140	275
886	2142	272
887	2144	270
888	2146	267
889	2148	265
890	2151	263
891	2153	260
892	2155	258
893	2157	255
894	2160	253
895	2162	251
896	2165	248
897	2167	246
898	2170	243
899	2172	241
900	2175	239
901	2177	236
902	2180	234
903	2182	231
904	2185	229
905	2187	226
906	2189	224
907	2192	222
908	2194	219
909	2197	217
910	2200	214
911	2202	212
912	2204	210
913	2206	207
914	2209	205
915	2211	202
916	2213	200
917	2216	197
918	2218	195
919	2220	193
920	2223	190
921	2225	188
922	2227	185
923	2230	183
924	2233	181
925	2235	178
926	2237	176
927	2240	173
928	2242	171
929	2244	168
930	2247	166
931	2249	164
932	2252	161
933	2255	159
934	2257	156
935	2260	154
936	2263	152
937	2266	149
938	2268	147
939	2270	144
940	2272	142
941	2275	140
942	2277	137
943	2279	135
944	2282	132
945	2284	130
946	2286	127
947	2288	125
948	2291	123
949	2293	120
950	2296	118
951	2298	115
952	2301	113
953	2303	111
954	2305	108
955	2307	106
956	2309	103
957	2311	101
958	2314	98
959	2316	96
960	2318	94
961	2320	91
962	2323	89
963	2325	86
964	2327	84
965	2329	81
966	2331	79
967	2333	77
968	2338	74
969	2340	72
970	2343	69
971	2345	67
972	2347	65
973	2349	62
974	2352	60
975	2354	57
976	2356	55
977	2358	53
978	2361	50
979	2363	48
980	2367	45
981	2369	43
982	2372	41
983	2376	38
984	2378	36
985	2380	33
986	2382	31
987	2385	28
988	2387	26
989	2389	24
990	2391	21
991	2394	19
992	2396	16
993	2398	14
994	2401	12
995	2403	9
996	2406	7
997	2409	4
998	2411	2
999	2414	0
